mille deux cent soixante-dix-neuf	NUM
mille deux cent soixante-douze	NUM
mille deux cent soixante-treize	NUM
mille deux cent soixante-quatorze	NUM
mille deux cent soixante-quinze	NUM
mille deux cent soixante-seize	NUM
mille deux cent soixante-quatre	NUM
mille deux cent soixante-deux	NUM
mille deux cent soixante-trois	NUM
mille deux cent soixante-cinq	NUM
mille deux cent soixante-six	NUM
mille deux cent soixante-sept	NUM
mille deux cent soixante-huit	NUM
mille deux cent soixante-neuf	NUM
mille deux cent quatre-vingt	NUM
mille deux cent quatre-vingt-un	NUM
mille deux cent quatre-vingt-dix	NUM
mille deux cent quatre-vingt-onze	NUM
mille deux cent quatre-vingt-dix-sept	NUM
mille deux cent quatre-vingt-dix-huit	NUM
mille deux cent quatre-vingt-dix-neuf	NUM
mille deux cent quatre-vingt-douze	NUM
mille deux cent quatre-vingt-treize	NUM
mille deux cent quatre-vingt-quatorze	NUM
mille deux cent quatre-vingt-quinze	NUM
mille deux cent quatre-vingt-seize	NUM
mille deux cent quatre-vingt-quatre	NUM
mille deux cent quatre-vingt-deux	NUM
mille deux cent quatre-vingt-trois	NUM
mille deux cent quatre-vingt-cinq	NUM
mille deux cent quatre-vingt-six	NUM
mille deux cent quatre-vingt-sept	NUM
mille deux cent quatre-vingt-huit	NUM
mille deux cent quatre-vingt-neuf	NUM
mille deux cent dix	NUM
mille deux cent onze	NUM
mille deux cent dix-sept	NUM
mille deux cent dix-huit	NUM
mille deux cent dix-neuf	NUM
mille deux cent douze	NUM
mille deux cent treize	NUM
mille deux cent quatorze	NUM
mille deux cent quinze	NUM
mille deux cent seize	NUM
mille deux cent vingt	NUM
mille deux cent vingt et un	NUM
mille deux cent vingt-quatre	NUM
mille deux cent vingt-deux	NUM
mille deux cent vingt-trois	NUM
mille deux cent vingt-cinq	NUM
mille deux cent vingt-six	NUM
mille deux cent vingt-sept	NUM
mille deux cent vingt-huit	NUM
mille deux cent vingt-neuf	NUM
mille deux cent trente	NUM
mille deux cent trente et un	NUM
mille deux cent trente-quatre	NUM
